metric,month_1,month_2,month_3,month_4,month_5,month_6,trend,notes
total_signups,1850,2340,2890,3420,3810,4120,growing,"Хорошая регистрация, бариста продвигают"
monthly_active_users,1200,980,760,620,540,480,declining,"Вот проблема — люди регистрируются и уходят"
app_opens_per_user,4.2,3.1,2.4,1.9,1.6,1.4,declining,"Меньше вовлечённости со временем"
avg_visits_per_month,3.8,2.9,2.4,2.1,1.8,1.6,declining,"Частота визитов падает"
points_redeemed,342,298,267,231,198,176,declining,"Меньше людей достигают наград"
tier_pervoprohodets_pct,72,78,82,85,87,89,growing,"Большинство участников застряли на низшем уровне"
tier_issledovatel_pct,21,17,14,12,10,9,declining,"Меньше достигают среднего уровня"
tier_vershina_pct,7,5,4,3,3,2,declining,"Почти никто не достигает верхнего уровня"
30_day_retention,45,38,34,31,29,27,declining,"Люди уходят быстрее"
90_day_retention,28,24,21,18,16,14,declining,"Долгосрочное удержание ужасное"
nps_program,34,28,22,18,15,12,declining,"Удовлетворённость падает"
nps_overall_brand,67,65,66,68,67,66,stable,"Бренд ещё сильный, программа слабая"
push_notification_opens,12,10,8,7,6,5,declining,"Люди игнорируют нас"
email_open_rate,18,16,14,13,12,11,declining,"Email становится шумом"
avg_days_between_visits,4.2,5.1,6.3,7.8,9.2,10.4,growing,"Больше дней между визитами"
churn_to_competitor,unknown,unknown,12,14,16,18,growing,"Теряем участников в пользу Starbucks/Dutch Bros"
member_lifetime_value,47,42,38,35,32,29,declining,"Каждый участник стоит меньше со временем"
program_cost_per_member,8.50,9.20,10.10,11.30,12.80,14.50,growing,"Становится дороже на участника"
roi_estimate,1.8,1.5,1.2,0.9,0.7,0.5,declining,"ROI скоро уйдёт в минус"
